ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,altbiom2023,wet,vegcover,woodycover,treecover,evergreen,altbiome
30708,0.518184066,292.90,22.42411613,18.86743164,AT,7,"Tropical and subtropical grasslands, savannas, and",Itigi-Sumbu thicket,8.2,0,99,10,10,0,410
30709,0.286416858,227.20,24.21652222,15.47997379,AT,7,"Tropical and subtropical grasslands, savannas, and",Kalahari Acacia-Baikiaea woodlands,8.1,0,99,25,25,0,210
30710,0.631487608,301.76,25.09375763,22.52023125,AT,7,"Tropical and subtropical grasslands, savannas, and",Mandara Plateau mosaic,8.2,0,99,10,10,0,410
30711,0.442091957,250.02,23.15339756,20.960886,AT,7,"Tropical and subtropical grasslands, savannas, and",Northern Acacia-Commiphora bushlands and thickets,8.2,0,99,10,10,0,410
30712,1.197093487,324.74,24.97361469,22.99919891,AT,7,"Tropical and subtropical grasslands, savannas, and",Northern Congolian forest-savanna mosaic,8.2,0,99,10,10,0,410
30713,0.139743254,208.65,30.14122295,21.76207399,AT,7,"Tropical and subtropical grasslands, savannas, and",Sahelian Acacia savanna,8.1,0,99,10,10,0,410
30714,0.39579317,239.49,24.81050682,19.9192791,AT,7,"Tropical and subtropical grasslands, savannas, and",Serengeti volcanic grasslands,8.1,0,99,10,10,0,410
30715,0.218790397,176.90,27.24900913,24.38631344,AT,7,"Tropical and subtropical grasslands, savannas, and",Somali Acacia-Commiphora bushlands and thickets,8.1,0,99,10,10,0,410
30716,0.635500401,302.71,23.09079933,20.67052269,AT,7,"Tropical and subtropical grasslands, savannas, and",Southern Acacia-Commiphora bushlands and thickets,8.2,0,99,10,10,0,410
30717,0.454594478,304.93,23.41967773,14.0462532,AT,7,"Tropical and subtropical grasslands, savannas, and",Southern Africa bushveld,8.2,0,99,10,10,0,410
30718,1.25024575,313.14,24.21359062,23.31519508,AT,7,"Tropical and subtropical grasslands, savannas, and",Southern Congolian forest-savanna mosaic,8.2,0,99,10,10,0,410
30719,0.668322504,295.24,22.35720444,16.3386097,AT,7,"Tropical and subtropical grasslands, savannas, and",Southern Miombo woodlands,8.2,0,99,25,25,0,210
30721,1.016661167,311.23,23.60481453,21.89898491,AT,7,"Tropical and subtropical grasslands, savannas, and",Victoria Basin forest-savanna mosaic,8.2,0,99,10,10,0,410
30722,0.547186613,329.91,27.58067703,23.02711201,AT,7,"Tropical and subtropical grasslands, savannas, and",West Sudanian savanna,8.2,0,99,10,10,0,410
30723,1.110411048,301.74,24.52622032,21.58822441,AT,7,"Tropical and subtropical grasslands, savannas, and",Western Congolian forest-savanna mosaic,8.2,0,99,10,10,0,410
30724,0.739374936,356.29,22.00531578,13.55307746,AT,7,"Tropical and subtropical grasslands, savannas, and",Western Zambezian grasslands,8.2,0,99,10,10,0,410
30725,0.434445322,305.39,25.39634609,18.50417519,AT,7,"Tropical and subtropical grasslands, savannas, and",Zambezian and Mopane woodlands,8.2,0,99,25,25,0,210
30726,0.453046948,331.13,23.75147057,15.4131766,AT,7,"Tropical and subtropical grasslands, savannas, and",Zambezian Baikiaea woodlands,8.2,0,99,25,25,0,210
30801,0.124665074,92.00,31.35786438,17.84620667,AT,8,"Temperate grasslands, savannas, and shrublands",Al Hajar montane woodlands,7.3,0,99,25,25,,230
30803,11.56560707,97.41,4.558527946,0.046099454,AT,8,"Temperate grasslands, savannas, and shrublands",Tristan Da Cunha-Gough Islands shrub and grasslands,1.2,0,99,25,0,,432
30901,0.299744666,211.68,26.61927986,24.63332176,AT,9,Flooded grasslands,East African halophytics,,1,99,0,0,,1000
30902,0.261575282,276.90,24.85688686,15.59496564,AT,9,Flooded grasslands,Etosha Pan halophytics,,1,99,0,0,,1000
30903,0.15563868,234.00,30.12116528,21.95047474,AT,9,Flooded grasslands,Inner Niger Delta flooded savanna,,1,99,10,10,,1000
30904,0.210972801,278.59,29.11344719,21.89031982,AT,9,Flooded grasslands,Lake Chad flooded savanna,,1,99,10,10,,1000
30905,0.543592095,333.68,28.47499847,25.5,AT,9,Flooded grasslands,Saharan flooded grasslands,,1,99,0,0,,1000
30906,0.819323182,359.90,26.859972,21.4985981,AT,9,Flooded grasslands,Zambezian coastal flooded savanna,,1,99,10,10,,1000
30907,0.633846521,307.66,23.67754555,16.96119118,AT,9,Flooded grasslands,Zambezian flooded grasslands,,1,99,0,0,,1000
30908,0.243687943,223.90,26.23317337,17.52490902,AT,9,Flooded grasslands,Zambezian halophytics,,1,99,0,0,,1000
31001,1.210999191,264.81,19.66784477,16.56227779,AT,10,Montane grasslands,Angolan montane forest-grassland mosaic,8.2,0,99,0,0,,222
31002,0.625990093,291.57,26.57308006,21.33958244,AT,10,Montane grasslands,Angolan scarp savanna and woodlands,8.2,0,99,10,10,,640
31003,1.12540555,260.00,12.51932907,3.341403246,AT,10,Montane grasslands,Drakensberg alti-montane grasslands and woodlands,8.2,0,99,10,10,,640
31004,0.851592392,276.02,18.2266016,10.9342351,AT,10,Montane grasslands,"Drakensberg montane grasslands, woodlands and forests",8.2,0,99,10,10,,222
31005,2.246741533,209.70,10.59493923,8.957596779,AT,10,Montane grasslands,East African montane moorlands,1.3,0,99,0,0,,610
31006,1.137663722,246.98,17.68454552,11.36513805,AT,10,Montane grasslands,Eastern Zimbabwe montane forest-grassland mosaic,8.2,0,99,0,0,,222
31007,0.942125291,261.28,18.50007629,16.26005745,AT,10,Montane grasslands,Ethiopian montane grasslands and woodlands,8.2,0,99,10,10,,610
31008,1.33554101,224.74,12.87102795,11.37470531,AT,10,Montane grasslands,Ethiopian montane moorlands,1.3,0,99,0,0,,610
31009,0.618999243,284.82,19.40985203,7.370290756,AT,10,Montane grasslands,Highveld grasslands,8.2,0,99,0,0,,640
